[  371.591885] tgid, 1870, delta_vrun, 8511422, delta_rrun, 914313, prio, 130
[  376.532240] tgid, 1870, delta_vrun, 418914, delta_rrun, 418914, prio, 120
[  376.590560] tgid, 1870, delta_vrun, 162427, delta_rrun, 162427, prio, 120
[  376.667088] tgid, 1870, delta_vrun, 413924, delta_rrun, 413924, prio, 120
[  376.667305] tgid, 1870, delta_vrun, 386555, delta_rrun, 386555, prio, 120
[  376.714511] tgid, 1870, delta_vrun, 258330, delta_rrun, 258330, prio, 120
[  376.775513] tgid, 1870, delta_vrun, 275264, delta_rrun, 275264, prio, 120
[  376.801094] tgid, 1870, delta_vrun, 6323, delta_rrun, 6323, prio, 120
[  376.913903] tgid, 1870, delta_vrun, 6496, delta_rrun, 6496, prio, 120
[  376.947581] tgid, 1870, delta_vrun, 157151, delta_rrun, 157151, prio, 120
[  376.953319] tgid, 1870, delta_vrun, 402274, delta_rrun, 402274, prio, 120
[  376.961677] tgid, 1870, delta_vrun, 624410, delta_rrun, 624410, prio, 120
[  377.054160] tgid, 1870, delta_vrun, 47935, delta_rrun, 47935, prio, 120
[  377.082952] tgid, 1870, delta_vrun, 174275, delta_rrun, 174275, prio, 120
[  377.083183] tgid, 1870, delta_vrun, 232224, delta_rrun, 232224, prio, 120
[  377.401698] tgid, 1870, delta_vrun, 3311, delta_rrun, 3311, prio, 120
[  377.454078] tgid, 1870, delta_vrun, 7840, delta_rrun, 7840, prio, 120
[  377.459385] tgid, 1870, delta_vrun, 284006, delta_rrun, 284006, prio, 120
[  377.506852] tgid, 1870, delta_vrun, 2691, delta_rrun, 2691, prio, 120
[  378.340972] tgid, 1870, delta_vrun, 829898, delta_rrun, 829898, prio, 120
[  378.529121] tgid, 1870, delta_vrun, 1148, delta_rrun, 1148, prio, 120
[  378.948189] tgid, 1870, delta_vrun, 76108, delta_rrun, 76108, prio, 120
[  379.803203] tgid, 1870, delta_vrun, 24613, delta_rrun, 2644, prio, 130
[  379.983983] tgid, 1870, delta_vrun, 36845, delta_rrun, 3958, prio, 130
[  380.137118] tgid, 1870, delta_vrun, 69371, delta_rrun, 7452, prio, 130
[  380.140663] tgid, 1870, delta_vrun, 7374, delta_rrun, 7374, prio, 120
[  380.466251] tgid, 1870, delta_vrun, 941642, delta_rrun, 101153, prio, 130
[  380.490593] tgid, 1870, delta_vrun, 8138165, delta_rrun, 874217, prio, 130
[  380.576800] tgid, 1870, delta_vrun, 24427, delta_rrun, 2624, prio, 130
[  380.903874] tgid, 1870, delta_vrun, 548, delta_rrun, 548, prio, 120
[  381.064467] tgid, 1870, delta_vrun, 905342, delta_rrun, 905342, prio, 120
[  381.117692] tgid, 1870, delta_vrun, 222187, delta_rrun, 222187, prio, 120
[  381.961354] tgid, 1870, delta_vrun, 8992, delta_rrun, 8992, prio, 120
[  382.484656] tgid, 1870, delta_vrun, 106492, delta_rrun, 106492, prio, 120
[  382.732371] tgid, 1870, delta_vrun, 109948, delta_rrun, 109948, prio, 120
[  382.773358] tgid, 1870, delta_vrun, 229525, delta_rrun, 229525, prio, 120
[  382.898220] tgid, 1870, delta_vrun, 104776, delta_rrun, 104776, prio, 120
[  383.549993] tgid, 1870, delta_vrun, 2078, delta_rrun, 2078, prio, 120
[  383.670728] tgid, 1870, delta_vrun, 113699, delta_rrun, 113699, prio, 120
[  384.016170] tgid, 1870, delta_vrun, 1329, delta_rrun, 1329, prio, 120
[  385.718741] tgid, 1870, delta_vrun, 9128, delta_rrun, 9128, prio, 120
[  385.877883] tgid, 1870, delta_vrun, 696006, delta_rrun, 696006, prio, 120
[  386.958353] tgid, 1870, delta_vrun, 6822, delta_rrun, 6822, prio, 120
[  388.271757] tgid, 1870, delta_vrun, 424178, delta_rrun, 45566, prio, 130
[  389.859900] tgid, 1870, delta_vrun, 33261, delta_rrun, 3573, prio, 130
[  389.886952] tgid, 1870, delta_vrun, 239672, delta_rrun, 239672, prio, 120
[  390.054777] tgid, 1870, delta_vrun, 1534342, delta_rrun, 164822, prio, 130
[  390.113097] tgid, 1870, delta_vrun, 141710, delta_rrun, 141710, prio, 120
[  390.514405] tgid, 1870, delta_vrun, 2746619, delta_rrun, 295047, prio, 130
[  390.793385] tgid, 1870, delta_vrun, 40959, delta_rrun, 4400, prio, 130
[  391.300734] tgid, 1870, delta_vrun, 5682501, delta_rrun, 610425, prio, 130
[  391.554572] tgid, 1870, delta_vrun, 192103, delta_rrun, 192103, prio, 120
[  392.688631] tgid, 1870, delta_vrun, 162361, delta_rrun, 162361, prio, 120
[  392.713347] tgid, 1870, delta_vrun, 28533, delta_rrun, 28533, prio, 120
[  393.026264] tgid, 1870, delta_vrun, 5241, delta_rrun, 5241, prio, 120
[  393.035835] tgid, 1870, delta_vrun, 107838, delta_rrun, 107838, prio, 120
[  393.042764] tgid, 1870, delta_vrun, 175763, delta_rrun, 175763, prio, 120
[  393.090917] tgid, 1870, delta_vrun, 107463, delta_rrun, 107463, prio, 120
[  393.140571] tgid, 1870, delta_vrun, 131737, delta_rrun, 131737, prio, 120
[  393.582121] tgid, 1870, delta_vrun, 964735, delta_rrun, 964735, prio, 120
[  393.753859] tgid, 1870, delta_vrun, 617482, delta_rrun, 617482, prio, 120
[  393.818854] tgid, 1870, delta_vrun, 9766, delta_rrun, 9766, prio, 120
[  393.886341] tgid, 1870, delta_vrun, 278754, delta_rrun, 278754, prio, 120
[  394.201578] tgid, 1870, delta_vrun, 2689, delta_rrun, 2689, prio, 120
[  394.227391] tgid, 1870, delta_vrun, 756685, delta_rrun, 756685, prio, 120
[  394.288699] tgid, 1870, delta_vrun, 503006, delta_rrun, 503006, prio, 120
[  394.537112] tgid, 1870, delta_vrun, 100483, delta_rrun, 100483, prio, 120
[  394.653631] tgid, 1870, delta_vrun, 15745, delta_rrun, 15745, prio, 120
[  394.728473] tgid, 1870, delta_vrun, 451862, delta_rrun, 451862, prio, 120
[  394.990222] tgid, 1870, delta_vrun, 54038, delta_rrun, 54038, prio, 120
[  395.237122] tgid, 1870, delta_vrun, 642889, delta_rrun, 642889, prio, 120
[  395.286457] tgid, 1870, delta_vrun, 244200, delta_rrun, 244200, prio, 120
[  395.562787] tgid, 1870, delta_vrun, 302452, delta_rrun, 302452, prio, 120
[  395.715522] tgid, 1870, delta_vrun, 426218, delta_rrun, 426218, prio, 120
[  395.822341] tgid, 1870, delta_vrun, 244576, delta_rrun, 244576, prio, 120
[  395.879449] tgid, 1870, delta_vrun, 308478, delta_rrun, 308478, prio, 120
[  396.172954] tgid, 1870, delta_vrun, 163717, delta_rrun, 163717, prio, 120
[  396.189980] tgid, 1870, delta_vrun, 171046, delta_rrun, 171046, prio, 120
[  396.282745] tgid, 1870, delta_vrun, 1161, delta_rrun, 1161, prio, 120
[  396.309342] tgid, 1870, delta_vrun, 153848, delta_rrun, 153848, prio, 120
[  397.058315] tgid, 1870, delta_vrun, 1358116, delta_rrun, 1358116, prio, 120
[  397.236625] tgid, 1870, delta_vrun, 3465355, delta_rrun, 372255, prio, 130
[  397.418253] tgid, 1870, delta_vrun, 3519, delta_rrun, 3519, prio, 120
[  397.681612] tgid, 1870, delta_vrun, 26186, delta_rrun, 2813, prio, 130
[  397.774164] tgid, 1870, delta_vrun, 2161179, delta_rrun, 232158, prio, 130
[  398.169032] tgid, 1870, delta_vrun, 2648575, delta_rrun, 284515, prio, 130
[  398.197075] tgid, 1870, delta_vrun, 13591, delta_rrun, 13591, prio, 120
[  398.559532] tgid, 1870, delta_vrun, 3789051, delta_rrun, 407027, prio, 130
[  398.634170] tgid, 1870, delta_vrun, 310470, delta_rrun, 310470, prio, 120
[  398.670693] tgid, 1870, delta_vrun, 27331, delta_rrun, 2936, prio, 130
[  398.954695] tgid, 1870, delta_vrun, 66281, delta_rrun, 66281, prio, 120
[  400.450084] tgid, 1870, delta_vrun, 225967, delta_rrun, 225967, prio, 120
[  400.777862] tgid, 1870, delta_vrun, 697, delta_rrun, 697, prio, 120
[  400.817034] tgid, 1870, delta_vrun, 3924, delta_rrun, 3924, prio, 120
[  401.233421] tgid, 1870, delta_vrun, 46844, delta_rrun, 46844, prio, 120
[  401.478882] tgid, 1870, delta_vrun, 106402, delta_rrun, 106402, prio, 120
[  401.517657] tgid, 1870, delta_vrun, 106130, delta_rrun, 106130, prio, 120
[  401.558896] tgid, 1870, delta_vrun, 172711, delta_rrun, 172711, prio, 120
[  402.168331] tgid, 1870, delta_vrun, 63004, delta_rrun, 63004, prio, 120
[  404.222882] tgid, 1870, delta_vrun, 73130, delta_rrun, 73130, prio, 120
[  404.421000] tgid, 1870, delta_vrun, 9483533, delta_rrun, 1018739, prio, 130
[  404.423748] tgid, 1870, delta_vrun, 2413139, delta_rrun, 259224, prio, 130
[  404.862154] tgid, 1870, delta_vrun, 78705, delta_rrun, 78705, prio, 120
[  405.242967] tgid, 1870, delta_vrun, 249772, delta_rrun, 26831, prio, 130
[  405.648933] tgid, 1870, delta_vrun, 5159451, delta_rrun, 554238, prio, 130
[  405.799626] tgid, 1870, delta_vrun, 52540, delta_rrun, 5644, prio, 130
[  405.826519] tgid, 1870, delta_vrun, 3925597, delta_rrun, 421695, prio, 130
[  406.051122] tgid, 1870, delta_vrun, 1613512, delta_rrun, 1613512, prio, 120
[  406.104056] tgid, 1870, delta_vrun, 122772, delta_rrun, 122772, prio, 120
[  406.253206] tgid, 1870, delta_vrun, 931817, delta_rrun, 931817, prio, 120
[  406.557741] tgid, 1870, delta_vrun, 352569, delta_rrun, 352569, prio, 120
[  406.780044] tgid, 1870, delta_vrun, 1028474, delta_rrun, 1028474, prio, 120
[  407.285014] tgid, 1870, delta_vrun, 970978, delta_rrun, 970978, prio, 120
[  407.409252] tgid, 1870, delta_vrun, 246191, delta_rrun, 246191, prio, 120
[  408.245522] tgid, 1870, delta_vrun, 63247, delta_rrun, 63247, prio, 120
[  408.486045] tgid, 1870, delta_vrun, 11540, delta_rrun, 11540, prio, 120
[  408.490678] tgid, 1870, delta_vrun, 1961, delta_rrun, 1961, prio, 120
[  408.496507] tgid, 1870, delta_vrun, 176770, delta_rrun, 176770, prio, 120
[  408.550925] tgid, 1870, delta_vrun, 123822, delta_rrun, 123822, prio, 120
[  408.618022] tgid, 1870, delta_vrun, 45315, delta_rrun, 45315, prio, 120
[  408.633154] tgid, 1870, delta_vrun, 113456, delta_rrun, 113456, prio, 120
[  408.733354] tgid, 1870, delta_vrun, 642842, delta_rrun, 642842, prio, 120
[  409.033460] tgid, 1870, delta_vrun, 71162, delta_rrun, 71162, prio, 120
[  409.050857] tgid, 1870, delta_vrun, 120344, delta_rrun, 120344, prio, 120
[  409.292815] tgid, 1870, delta_vrun, 178469, delta_rrun, 178469, prio, 120
[  409.428303] tgid, 1870, delta_vrun, 429554, delta_rrun, 429554, prio, 120
[  409.778728] tgid, 1870, delta_vrun, 35051, delta_rrun, 35051, prio, 120
[  409.912768] tgid, 1870, delta_vrun, 457096, delta_rrun, 457096, prio, 120
[  409.955840] tgid, 1870, delta_vrun, 3195, delta_rrun, 3195, prio, 120
[  410.007628] tgid, 1870, delta_vrun, 74684, delta_rrun, 74684, prio, 120
[  410.060935] tgid, 1870, delta_vrun, 2470, delta_rrun, 2470, prio, 120
[  410.286119] tgid, 1870, delta_vrun, 244923, delta_rrun, 244923, prio, 120
[  410.506244] tgid, 1870, delta_vrun, 1890, delta_rrun, 1890, prio, 120
[  410.733479] tgid, 1870, delta_vrun, 2820095, delta_rrun, 302940, prio, 130
[  410.839951] tgid, 1870, delta_vrun, 2155, delta_rrun, 2155, prio, 120
[  410.876322] tgid, 1870, delta_vrun, 167316, delta_rrun, 167316, prio, 120
[  411.013950] tgid, 1870, delta_vrun, 159297, delta_rrun, 159297, prio, 120
[  411.133668] tgid, 1870, delta_vrun, 6248, delta_rrun, 6248, prio, 120
[  411.485059] tgid, 1870, delta_vrun, 157003, delta_rrun, 157003, prio, 120
[  411.887579] tgid, 1870, delta_vrun, 3997202, delta_rrun, 429387, prio, 130
[  412.233971] tgid, 1870, delta_vrun, 118473, delta_rrun, 118473, prio, 120
[  412.724711] tgid, 1870, delta_vrun, 58191, delta_rrun, 6251, prio, 130
[  413.047928] tgid, 1870, delta_vrun, 562412, delta_rrun, 562412, prio, 120
[  413.438128] tgid, 1870, delta_vrun, 50269, delta_rrun, 5400, prio, 130
[  413.444401] tgid, 1870, delta_vrun, 17286, delta_rrun, 1857, prio, 130
[  414.050526] tgid, 1870, delta_vrun, 446066, delta_rrun, 446066, prio, 120
[  414.089487] tgid, 1870, delta_vrun, 160076, delta_rrun, 160076, prio, 120
[  414.177008] tgid, 1870, delta_vrun, 32442, delta_rrun, 3485, prio, 130
[  414.223302] tgid, 1870, delta_vrun, 3948, delta_rrun, 3948, prio, 120
[  414.303287] tgid, 1870, delta_vrun, 22671, delta_rrun, 22671, prio, 120
[  415.131676] tgid, 1870, delta_vrun, 69176, delta_rrun, 69176, prio, 120
[  415.362815] tgid, 1870, delta_vrun, 9582, delta_rrun, 9582, prio, 120
[  415.840161] tgid, 1870, delta_vrun, 3034, delta_rrun, 3034, prio, 120
[  415.846533] tgid, 1870, delta_vrun, 106715, delta_rrun, 106715, prio, 120
[  415.958204] tgid, 1870, delta_vrun, 113266, delta_rrun, 113266, prio, 120
[  416.164878] tgid, 1870, delta_vrun, 211491, delta_rrun, 211491, prio, 120
[  416.513632] tgid, 1870, delta_vrun, 3729, delta_rrun, 3729, prio, 120
[  416.767701] tgid, 1870, delta_vrun, 695799, delta_rrun, 695799, prio, 120
[  417.444243] tgid, 1870, delta_vrun, 547, delta_rrun, 547, prio, 120
[  418.406014] tgid, 1870, delta_vrun, 162342, delta_rrun, 162342, prio, 120
[  418.829007] tgid, 1870, delta_vrun, 1919, delta_rrun, 1919, prio, 120
[  418.994731] tgid, 1870, delta_vrun, 1775243, delta_rrun, 190700, prio, 130
[  419.060938] tgid, 1870, delta_vrun, 147231, delta_rrun, 147231, prio, 120
[  419.389183] tgid, 1870, delta_vrun, 49822, delta_rrun, 5352, prio, 130
[  419.823528] tgid, 1870, delta_vrun, 139724, delta_rrun, 139724, prio, 120
[  420.319704] tgid, 1870, delta_vrun, 16224, delta_rrun, 16224, prio, 120
[  420.360871] tgid, 1870, delta_vrun, 5421298, delta_rrun, 582366, prio, 130
[  420.847973] tgid, 1870, delta_vrun, 1482184, delta_rrun, 159219, prio, 130
[  421.013189] tgid, 1870, delta_vrun, 366901, delta_rrun, 366901, prio, 120
[  421.292830] tgid, 1870, delta_vrun, 40261, delta_rrun, 4325, prio, 130
[  421.378391] tgid, 1870, delta_vrun, 1748172, delta_rrun, 187792, prio, 130
[  422.412091] tgid, 1870, delta_vrun, 58598, delta_rrun, 58598, prio, 120
[  422.511187] tgid, 1870, delta_vrun, 571949, delta_rrun, 571949, prio, 120
[  422.956180] tgid, 1870, delta_vrun, 626519, delta_rrun, 626519, prio, 120
[  423.226103] tgid, 1870, delta_vrun, 178057, delta_rrun, 178057, prio, 120
[  423.413536] tgid, 1870, delta_vrun, 107568, delta_rrun, 107568, prio, 120
[  423.548893] tgid, 1870, delta_vrun, 1267, delta_rrun, 1267, prio, 120
[  423.593937] tgid, 1870, delta_vrun, 5061, delta_rrun, 5061, prio, 120
[  423.719569] tgid, 1870, delta_vrun, 63363, delta_rrun, 63363, prio, 120
[  423.727403] tgid, 1870, delta_vrun, 947006, delta_rrun, 947006, prio, 120
[  423.753314] tgid, 1870, delta_vrun, 10760, delta_rrun, 10760, prio, 120
[  423.788008] tgid, 1870, delta_vrun, 131906, delta_rrun, 131906, prio, 120
[  423.915983] tgid, 1870, delta_vrun, 882080, delta_rrun, 882080, prio, 120
[  424.081563] tgid, 1870, delta_vrun, 167101, delta_rrun, 167101, prio, 120
[  424.620439] tgid, 1870, delta_vrun, 2757, delta_rrun, 2757, prio, 120
[  424.811120] tgid, 1870, delta_vrun, 830, delta_rrun, 830, prio, 120
[  424.811793] tgid, 1870, delta_vrun, 884, delta_rrun, 884, prio, 120
[  424.841660] tgid, 1870, delta_vrun, 66276, delta_rrun, 66276, prio, 120
[  424.938118] tgid, 1870, delta_vrun, 163999, delta_rrun, 163999, prio, 120
[  424.954093] tgid, 1870, delta_vrun, 204984, delta_rrun, 204984, prio, 120
[  425.212467] tgid, 1870, delta_vrun, 333179, delta_rrun, 333179, prio, 120
[  425.358092] tgid, 1870, delta_vrun, 247381, delta_rrun, 247381, prio, 120
[  425.525933] tgid, 1870, delta_vrun, 106364, delta_rrun, 106364, prio, 120
[  425.710266] tgid, 1870, delta_vrun, 148505, delta_rrun, 148505, prio, 120
[  425.999276] tgid, 1870, delta_vrun, 159292, delta_rrun, 159292, prio, 120
[  426.114104] tgid, 1870, delta_vrun, 244482, delta_rrun, 244482, prio, 120
[  426.204779] tgid, 1870, delta_vrun, 74593, delta_rrun, 8013, prio, 130
[  426.465052] tgid, 1870, delta_vrun, 132362, delta_rrun, 132362, prio, 120
[  426.538220] tgid, 1870, delta_vrun, 157653, delta_rrun, 157653, prio, 120
[  426.720042] tgid, 1870, delta_vrun, 2067195, delta_rrun, 222062, prio, 130
[  427.566915] tgid, 1870, delta_vrun, 1983069, delta_rrun, 213025, prio, 130
[  428.537103] tgid, 1870, delta_vrun, 1255703, delta_rrun, 134890, prio, 130
[  428.585287] tgid, 1870, delta_vrun, 1364722, delta_rrun, 146601, prio, 130
[  428.639758] tgid, 1870, delta_vrun, 844632, delta_rrun, 90732, prio, 130
[  428.660768] tgid, 1870, delta_vrun, 70329, delta_rrun, 70329, prio, 120
[  428.801399] tgid, 1870, delta_vrun, 3182, delta_rrun, 3182, prio, 120
[  428.923037] tgid, 1870, delta_vrun, 5459, delta_rrun, 5459, prio, 120
[  429.106757] tgid, 1870, delta_vrun, 2369, delta_rrun, 2369, prio, 120
[  429.188235] tgid, 1870, delta_vrun, 243091, delta_rrun, 243091, prio, 120
[  429.428587] tgid, 1870, delta_vrun, 72891, delta_rrun, 72891, prio, 120
[  429.487696] tgid, 1870, delta_vrun, 8040, delta_rrun, 8040, prio, 120
[  429.990764] tgid, 1870, delta_vrun, 700, delta_rrun, 700, prio, 120
[  430.632061] tgid, 1870, delta_vrun, 115516, delta_rrun, 115516, prio, 120
[  430.693044] tgid, 1870, delta_vrun, 111856, delta_rrun, 111856, prio, 120
[  430.765738] tgid, 1870, delta_vrun, 510654, delta_rrun, 510654, prio, 120
[  431.098025] tgid, 1870, delta_vrun, 5141, delta_rrun, 5141, prio, 120
[  431.101339] tgid, 1870, delta_vrun, 121960, delta_rrun, 121960, prio, 120
[  431.417507] tgid, 1870, delta_vrun, 70668, delta_rrun, 70668, prio, 120
[  431.648010] tgid, 1870, delta_vrun, 180125, delta_rrun, 180125, prio, 120
[  432.092633] tgid, 1870, delta_vrun, 11471, delta_rrun, 11471, prio, 120
[  432.138554] tgid, 1870, delta_vrun, 1439, delta_rrun, 1439, prio, 120
[  432.222111] tgid, 1870, delta_vrun, 177427, delta_rrun, 177427, prio, 120
[  432.673836] tgid, 1870, delta_vrun, 23710, delta_rrun, 23710, prio, 120
[  433.057694] tgid, 1870, delta_vrun, 2707632, delta_rrun, 290859, prio, 130
[  433.703268] tgid, 1870, delta_vrun, 63046, delta_rrun, 63046, prio, 120
[  433.967361] tgid, 1870, delta_vrun, 3198, delta_rrun, 3198, prio, 120
[  434.212635] tgid, 1870, delta_vrun, 9056144, delta_rrun, 972828, prio, 130
[  434.322323] tgid, 1870, delta_vrun, 2674, delta_rrun, 2674, prio, 120
[  434.640004] tgid, 1870, delta_vrun, 1192690, delta_rrun, 128121, prio, 130
[  434.760559] tgid, 1870, delta_vrun, 261271, delta_rrun, 261271, prio, 120
[  434.799132] tgid, 1870, delta_vrun, 4701826, delta_rrun, 505079, prio, 130
[  435.019501] tgid, 1870, delta_vrun, 4239713, delta_rrun, 455438, prio, 130
[  435.330332] tgid, 1870, delta_vrun, 420024, delta_rrun, 420024, prio, 120
[  435.754072] tgid, 1870, delta_vrun, 151486, delta_rrun, 16273, prio, 130
[  436.117165] tgid, 1870, delta_vrun, 408027, delta_rrun, 408027, prio, 120
[  436.139639] tgid, 1870, delta_vrun, 768722, delta_rrun, 768722, prio, 120
[  436.190447] tgid, 1870, delta_vrun, 5095, delta_rrun, 5095, prio, 120
[  436.407568] tgid, 1870, delta_vrun, 5246, delta_rrun, 5246, prio, 120
[  436.515273] tgid, 1870, delta_vrun, 1247, delta_rrun, 1247, prio, 120
[  436.706164] tgid, 1870, delta_vrun, 396743, delta_rrun, 396743, prio, 120
[  436.786989] tgid, 1870, delta_vrun, 412842, delta_rrun, 412842, prio, 120
[  436.889161] tgid, 1870, delta_vrun, 415590, delta_rrun, 415590, prio, 120
[  437.026529] tgid, 1870, delta_vrun, 201922, delta_rrun, 201922, prio, 120
[  437.342613] tgid, 1870, delta_vrun, 105917, delta_rrun, 105917, prio, 120
[  437.836338] tgid, 1870, delta_vrun, 2035, delta_rrun, 2035, prio, 120
[  437.845908] tgid, 1870, delta_vrun, 115533, delta_rrun, 115533, prio, 120
[  438.175339] tgid, 1870, delta_vrun, 60082, delta_rrun, 60082, prio, 120
[  438.269460] tgid, 1870, delta_vrun, 408263, delta_rrun, 408263, prio, 120
[  438.505165] tgid, 1870, delta_vrun, 248239, delta_rrun, 248239, prio, 120
[  438.580182] tgid, 1870, delta_vrun, 3907, delta_rrun, 3907, prio, 120
[  438.741855] tgid, 1870, delta_vrun, 176252, delta_rrun, 176252, prio, 120
[  438.928827] tgid, 1870, delta_vrun, 241323, delta_rrun, 241323, prio, 120
[  439.315789] tgid, 1870, delta_vrun, 310524, delta_rrun, 310524, prio, 120
[  439.458326] tgid, 1870, delta_vrun, 1377, delta_rrun, 1377, prio, 120
[  439.500274] tgid, 1870, delta_vrun, 1943, delta_rrun, 1943, prio, 120
[  439.691786] tgid, 1870, delta_vrun, 5740, delta_rrun, 5740, prio, 120
[  439.935119] tgid, 1870, delta_vrun, 22620234, delta_rrun, 2429908, prio, 130
[  440.095409] tgid, 1870, delta_vrun, 108081, delta_rrun, 108081, prio, 120
[  440.114440] tgid, 1870, delta_vrun, 65672, delta_rrun, 65672, prio, 120
[  440.167886] tgid, 1870, delta_vrun, 154782, delta_rrun, 154782, prio, 120
[  440.276171] tgid, 1870, delta_vrun, 157100, delta_rrun, 157100, prio, 120
[  440.288104] tgid, 1870, delta_vrun, 124831, delta_rrun, 124831, prio, 120
[  440.946981] tgid, 1870, delta_vrun, 605542, delta_rrun, 605542, prio, 120
[  441.001830] tgid, 1870, delta_vrun, 9423844, delta_rrun, 1012327, prio, 130
[  441.891805] tgid, 1870, delta_vrun, 11149535, delta_rrun, 1197704, prio, 130
[  441.940831] tgid, 1870, delta_vrun, 7653338, delta_rrun, 822136, prio, 130
[  442.080562] tgid, 1870, delta_vrun, 1979010, delta_rrun, 212589, prio, 130
[  442.183820] tgid, 1870, delta_vrun, 1971, delta_rrun, 1971, prio, 120
[  442.255402] tgid, 1870, delta_vrun, 6703125, delta_rrun, 6703125, prio, 120
[  442.612526] tgid, 1870, delta_vrun, 40717, delta_rrun, 4374, prio, 130
[  443.416100] tgid, 1870, delta_vrun, 77936, delta_rrun, 77936, prio, 120
[  443.450033] tgid, 1870, delta_vrun, 6053, delta_rrun, 6053, prio, 120
[  444.133510] tgid, 1870, delta_vrun, 2171, delta_rrun, 2171, prio, 120
[  444.341919] tgid, 1870, delta_vrun, 943988, delta_rrun, 943988, prio, 120
[  444.449296] tgid, 1870, delta_vrun, 108489, delta_rrun, 108489, prio, 120
[  444.938930] tgid, 1870, delta_vrun, 169586, delta_rrun, 169586, prio, 120
[  445.081953] tgid, 1870, delta_vrun, 58028, delta_rrun, 58028, prio, 120
[  445.622274] tgid, 1870, delta_vrun, 2773, delta_rrun, 2773, prio, 120
[  445.960101] tgid, 1870, delta_vrun, 65295, delta_rrun, 65295, prio, 120
[  445.996650] tgid, 1870, delta_vrun, 115136, delta_rrun, 115136, prio, 120
[  446.740921] tgid, 1870, delta_vrun, 1656, delta_rrun, 1656, prio, 120
[  447.154515] tgid, 1870, delta_vrun, 94924, delta_rrun, 10197, prio, 130
[  447.650460] tgid, 1870, delta_vrun, 38747, delta_rrun, 38747, prio, 120
[  447.943134] tgid, 1870, delta_vrun, 1681, delta_rrun, 1681, prio, 120
[  447.988280] tgid, 1870, delta_vrun, 71475, delta_rrun, 71475, prio, 120
[  448.104202] tgid, 1870, delta_vrun, 541332, delta_rrun, 58151, prio, 130
[  448.358048] tgid, 1870, delta_vrun, 364217, delta_rrun, 364217, prio, 120
[  448.486767] tgid, 1870, delta_vrun, 3561183, delta_rrun, 382549, prio, 130
[  448.630716] tgid, 1870, delta_vrun, 882231, delta_rrun, 94771, prio, 130
[  448.675893] tgid, 1870, delta_vrun, 716881, delta_rrun, 716881, prio, 120
[  448.840351] tgid, 1870, delta_vrun, 4281, delta_rrun, 4281, prio, 120
[  448.856542] tgid, 1870, delta_vrun, 4139277, delta_rrun, 444649, prio, 130
[  449.192483] tgid, 1870, delta_vrun, 587566, delta_rrun, 587566, prio, 120
[  449.305675] tgid, 1870, delta_vrun, 11509043, delta_rrun, 1236323, prio, 130
[  449.446308] tgid, 1870, delta_vrun, 2387, delta_rrun, 2387, prio, 120
[  449.836277] tgid, 1870, delta_vrun, 902468, delta_rrun, 902468, prio, 120
[  449.851479] tgid, 1870, delta_vrun, 396393, delta_rrun, 396393, prio, 120
[  449.944568] tgid, 1870, delta_vrun, 592160, delta_rrun, 592160, prio, 120
[  450.201205] tgid, 1870, delta_vrun, 613945, delta_rrun, 613945, prio, 120
[  450.270560] tgid, 1870, delta_vrun, 616893, delta_rrun, 616893, prio, 120
[  450.299303] tgid, 1870, delta_vrun, 549000, delta_rrun, 549000, prio, 120
